Name,FORCE_X,FORCE_Y,FORCE_Z,Fx_N,Fy_N,Fz_N,PROCESS_FORCE,ACT_POSITION_X,ACT_POSITION_Y,ACT_POSITION_Z,ACT_POSITION_A,ACT_POSITION_C,ACT_POSITION_MKS_X,ACT_POSITION_MKS_Y,ACT_POSITION_MKS_Z,ACT_POSITION_MKS_A,ACT_POSITION_MKS_C,ACT_OVERRIDE,SPINDLE_ROTATION_ANGLE,SPINDLE_SPEED,ACT_CURRENT_X,ACT_CURRENT_Y,ACT_CURRENT_Z,ACT_CURRENT_A,ACT_CURRENT_C,ACT_CURRENT_S,ACTIVE_TOOL_CUTTING_EDGE_NUMBER,ACTIVE_TOOL_RADIUS,ACTIVE_TOOL_NUMBER,ACTIVE_TOOL_LENGTH,ACT_ZERO_OFFSET_Z,ACT_ZERO_OFFSET_A,ACT_ZERO_OFFSET_C,ACT_ZERO_OFFSET_X,ACT_ZERO_OFFSET_Y
133674057790280000,-606,411,-29,-9.247106,6.27155161,-0.8850365,0,44.846817,53.2879333,139.115723,2.958849E-05,5.34340179E-05,-1,-1,-1,0,315.271637,100,43.0559044,23999.1758,-0.794677734,1.527832,2.31738281,-0.182373047,-0.25390625,-1.28173828,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057790330000,41,-298,-40,0.625629246,-4.54725647,-1.22074,0,44.0224571,52.0870132,139.115524,2.9569157E-05,359.999969,-1,-1,-1,0,315.271637,100,259.0169,23998.49,-0.875,1.40478516,2.28320313,-0.177978516,-0.2197876,-2.52929688,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057790380000,556,-558,-22,8.484143,-8.514662,-0.671407,0,43.1975746,50.8857841,139.115,9.234817E-05,5.34340179E-05,-1,-1,-1,0,315.271637,100,115.071281,24001.58,-0.8442383,1.37573242,2.20800781,-0.216430664,-0.2546997,-0.9536133,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057790430000,241,-480,-201,3.67747927,-7.32444,-6.13421869,0,42.37252,49.6854134,139.116135,-3.32001946E-05,359.999969,-1,-1,-1,0,315.271637,100,331.037781,23998.0313,-0.890380859,1.38256836,2.33959961,-0.136230469,-0.222961426,-2.35498047,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057790480000,-156,-245,-53,-2.380443,-3.73851633,-1.61748052,0,41.54774,48.4852867,139.114914,-3.321953E-05,359.999969,-1,-1,-1,0,315.271637,100,187.053711,24002.8379,-0.859619141,1.35009766,2.20117188,-0.209838867,-0.238037109,-1.79785156,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057790530000,-788,369,-84,-12.0242891,5.63066339,-2.563554,0,40.72256,47.2851257,139.11557,9.23385E-05,359.999969,-1,-1,-1,0,315.271637,100,43.0613976,23999.291,-0.849365234,1.423584,2.34643555,-0.170288086,-0.2364502,-0.946777344,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057790580000,99,-303,-65,1.51066577,-4.623553,-1.98370254,0,39.8977,46.0846748,139.1157,2.95788213E-05,359.999847,-1,-1,-1,0,315.271637,100,259.021027,23998.7188,-0.9296875,1.23388672,2.290039,-0.166992188,-0.226928711,-2.286621,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057790630000,315,-646,-128,4.806664,-9.857475,-3.906368,0,38.24715,43.6858749,139.116287,9.235784E-05,359.999969,-1,-1,-1,0,315.271637,100,331.033661,23998.1465,-0.904052734,1.33813477,2.34814453,-0.164794922,-0.218200684,-2.724121,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057790680000,234,-693,-148,3.57066441,-10.57466,-4.516738,0,37.42163,42.4863358,139.114822,-3.32001946E-05,359.999969,-1,-1,-1,0,315.271637,100,187.049591,24002.7246,-0.8562012,1.24584961,2.20458984,-0.188964844,-0.226135254,-1.98925781,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057790730000,-188,-210,-87,-2.86873913,-3.2044425,-2.65510941,0,36.59562,41.2875061,139.115829,9.233851E-05,5.34340179E-05,-1,-1,-1,0,315.271637,100,43.05865,23999.0625,-0.873291,1.4543457,2.32421875,-0.186767578,-0.249145508,-1.10742188,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057790780000,-773,323,-105,-11.7954006,4.92873764,-3.2044425,0,35.77061,40.0876656,139.1156,-3.32002E-05,359.999969,-1,-1,-1,0,315.271637,100,259.023773,23998.832,-0.7792969,1.39624023,2.27807617,-0.164794922,-0.227722168,-2.58398438,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057790830000,-461,118,-64,-7.03451443,1.80059147,-1.953184,0,34.12088,37.6884651,139.116074,2.95691534E-05,5.34375322E-05,-1,-1,-1,0,315.271637,100,331.037781,23998.0313,-0.8117676,1.47827148,2.3515625,-0.17578125,-0.246765137,-2.71386719,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057790880000,335,-691,-110,5.111849,-10.5441418,-3.357035,0,33.29634,36.4884262,139.114761,2.95691552E-05,359.999847,-1,-1,-1,0,315.271637,100,187.052338,24002.8379,-0.8835449,1.40307617,2.20800781,-0.173583984,-0.222961426,-1.87304688,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057790930000,646,-1075,-314,9.857475,-16.4036942,-9.582809,0,32.47169,35.2882156,139.115723,2.95691552E-05,5.34305036E-05,-1,-1,-1,0,315.271637,100,43.0600243,23999.0625,-0.7980957,1.51416016,2.33105469,-0.2076416,-0.246765137,-1.13134766,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057790980000,-348,-378,-91,-5.310219,-5.76799631,-2.77718353,0,30.82284,32.8872681,139.11528,9.23385E-05,359.999969,-1,-1,-1,0,315.271637,100,115.068535,24001.2363,-0.9313965,1.1262207,2.21655273,-0.228515625,-0.243591309,-0.857910156,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057791030000,-591,360,-142,-9.018217,5.49333,-4.333627,0,29.99808,31.688818,139.116043,2.95788213E-05,5.34340179E-05,-1,-1,-1,0,315.271637,100,331.035034,23998.1465,-0.704101563,0.999755859,2.36352539,-0.151611328,-0.230102539,-2.86083984,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057791080000,-373,525,-51,-5.69170046,8.01110649,-1.55644345,0,29.17455,30.49306,139.115,2.9569157E-05,359.999847,-1,-1,-1,0,315.271637,100,187.053711,24003.1816,-0.6682129,0.9501953,2.192627,-0.185668945,-0.222167969,-1.56542969,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057791130000,870,-311,-76,13.275548,-4.745627,-2.319406,0,27.53834,28.1188889,139.115631,2.95691552E-05,359.999969,-1,-1,-1,0,315.271637,100,259.023773,23998.6035,-0.0871582,0.155517578,2.26611328,-0.151611328,-0.207885742,-2.79589844,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057791180000,531,-307,-200,8.102662,-4.68459,-6.1037,0,26.73099,26.94572,139.115173,2.95691552E-05,0.000151090266,-1,-1,-1,0,315.271637,100,115.0754,24001.4648,0.211914063,-0.334960938,2.23022461,-0.225219727,-0.25390625,-1.02539063,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057791230000,-436,1167,-100,-6.65303326,17.8075447,-3.05185,0,25.93586,25.7875137,139.115967,2.95691552E-05,359.999969,-1,-1,-1,0,315.271637,100,331.037781,23997.918,0.4699707,-0.9296875,2.38061523,-0.1340332,-0.228515625,-3.03173828,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057791280000,-9,1147,-43,-0.137333244,17.50236,-1.31229556,0,25.15441,24.6491947,139.114655,2.95691552E-05,359.999969,-1,-1,-1,0,315.271637,100,187.052338,24002.7246,0.770751953,-1.62353516,2.2421875,-0.195556641,-0.237243652,-1.96191406,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057791330000,253,1374,-71,3.86059022,20.96621,-2.16681361,0,23.64802,22.4553642,139.1154,2.95691552E-05,359.999969,-1,-1,-1,0,315.271637,100,259.01416,23998.49,1.55688477,-3.07958984,2.32080078,-0.1538086,-0.218200684,-3.055664,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057791380000,-531,1892,-173,-8.102662,28.8705,-5.27970076,0,22.93052,21.4120255,139.114792,2.95691552E-05,5.34340179E-05,-1,-1,-1,0,315.271637,100,115.063042,24001.2363,1.84570313,-3.74438477,2.26782227,-0.196655273,-0.249145508,-0.6665039,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057791430000,443,1534,-108,6.75984764,23.40769,-3.295998,0,22.2433662,20.4132843,139.115417,2.95691552E-05,5.34375322E-05,-1,-1,-1,0,315.271637,100,331.0309,23998.26,2.26269531,-4.97998047,2.46606445,-0.157104492,-0.241210938,-2.26269531,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057791480000,203,1667,-128,3.09762788,25.43717,-3.906368,0,20.97657,18.5740147,139.1151,9.235784E-05,359.999847,-1,-1,-1,0,315.271637,100,43.0572777,23998.832,3.23681641,-6.0925293,2.40625,-0.170288086,-0.228515625,-0.912597656,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057791530000,-189,2115,-95,-2.88399816,32.2733154,-2.89925742,0,20.4069824,17.7448044,139.114838,9.235784E-05,359.999756,-1,-1,-1,0,315.271637,100,259.021027,23998.832,3.65893555,-6.559082,2.38916016,-0.188964844,-0.192810059,-3.12060547,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057791580000,343,2274,-183,5.233923,34.6995354,-5.5848856,0,19.8839779,16.9828148,139.114227,0.000155136862,5.34269857E-05,-1,-1,-1,0,315.271637,100,115.071281,24001.35,3.730713,-6.92993164,2.36352539,-0.2548828,-0.249145508,-1.11767578,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057791630000,-466,2375,-63,-7.11081076,36.24072,-1.92266548,0,19.8839779,16.9828148,139.114227,0.000155136862,5.34269857E-05,-1,-1,-1,0,315.271637,100,115.071281,24001.35,3.730713,-6.92993164,2.36352539,-0.2548828,-0.249145508,-1.11767578,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057791680000,-425,2340,74,-6.48518133,35.706646,2.258369,0,18.9838085,15.6697454,139.114029,9.235784E-05,359.999756,-1,-1,-1,0,315.271637,100,187.048218,24002.7246,3.927246,-7.48876953,2.42163086,-0.185668945,-0.234069824,-1.77734375,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057791730000,103,2186,-134,1.57170272,33.35672,-4.089479,0,18.6079216,15.1219549,139.115036,0.000217915876,5.34269857E-05,-1,-1,-1,0,315.271637,100,43.05865,23999.4043,3.66235352,-7.782715,2.52417,-0.219726563,-0.2253418,-0.717773438,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057791780000,-64,1845,-66,-0.976592,28.1533165,-2.014221,0,18.2792683,14.6451654,139.115219,2.959816E-05,5.34375322E-05,-1,-1,-1,0,315.271637,100,259.0169,23998.49,3.7734375,-7.50415039,2.4387207,-0.185668945,-0.24597168,-2.80957031,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057791830000,335,1609,-165,5.111849,24.5521336,-5.0355525,0,17.76248,13.8938351,139.115509,2.95884911E-05,359.999969,-1,-1,-1,0,315.271637,100,331.033661,23997.918,3.13256836,-6.335205,2.633545,-0.166992188,-0.231689453,-2.22167969,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
