Milliseconds,X_Traori_Transformed,Y_Traori_Transformed,Z_Traori_Transformed,Fx_N,Fy_N,Fz_N,ACT_POSITION_X,ACT_POSITION_Y,ACT_POSITION_Z,ACT_POSITION_A,ACT_POSITION_C_Updated,ACT_OVERRIDE,SPINDLE_ROTATION_ANGLE,SPINDLE_SPEED,ACT_CURRENT_X,ACT_CURRENT_Y,ACT_CURRENT_Z,ACT_CURRENT_A,ACT_CURRENT_C,ACT_CURRENT_S,ACTIVE_TOOL_RADIUS,ACTIVE_TOOL_LENGTH,Zero_Offset_X,Zero_Offset_Y,Zero_Offset_Z,Zero_Offset_C
179.1,-218.10238462947655,-314.0933561949924,-153.16459257739004,-6.5462184,-74.95344,-27.924427,14.8877707,12.3659105,-13.0499382,-0.000158816241,0.000151090266,100,114.147057,24001.0078,0.194824219,0.673339844,3.46240234,-0.320800781,-0.303894043,-1.84570313,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
179.15,-218.0930573,-314.1371039244265,-153.16444866086317,3.845331,-92.88306,-20.8136177,14.8979263,12.3217554,-13.0501385,-0.00022157593,0.0,100,330.120422,23997.8027,0.189697266,0.68359375,3.491455,-0.228515625,-0.279296875,-3.390625,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
179.2,-218.06968433538003,-314.2243025135707,-153.1650318663826,-4.65407133,-88.15269,-28.8705,14.9210062,12.2345924,-13.0503778,-0.000158806579,5.34375322e-05,100,42.1509056,23999.9766,0.133300781,0.618652344,3.489746,-0.255981445,-0.2919922,-1.69189453,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
179.25,-218.0580708,-314.2668512428837,-153.1633628175736,-9.918512,-76.41833,-27.4056129,14.9329128,12.1921759,-13.0493975,-0.00028435493,0.0,100,258.118774,23999.4043,0.140136719,0.661376953,3.46069336,-0.181274414,-0.288818359,-3.828125,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
179.3,-218.04527905819347,-314.30999554412614,-153.1644918768943,-9.38443851,-76.70825,-28.6568718,14.9448757,12.149271,-13.0498381,-0.000158816241,0.000151090266,100,114.162163,24001.2363,0.158935547,0.606689453,3.45898438,-0.285644531,-0.307861328,-2.088379,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
179.35,-218.03351799614475,-314.35289681133776,-153.1640718913857,-0.061037,-88.610466,-20.6915436,14.9571724,12.1063337,-13.050107,-0.000284354959,5.344105e-05,100,330.1369,23997.8027,0.1418457,0.640869141,3.5,-0.20324707,-0.277709961,-3.32226563,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
179.4,-218.0074025797831,-314.43885594684275,-153.1650913727351,-4.28784943,-93.40187,-22.4616165,14.9827518,12.0204105,-13.0504379,-0.000158806579,0.0001510973,100,42.1550255,23999.748,0.1418457,0.65625,3.489746,-0.229614258,-0.2991333,-1.88330078,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
179.45,-217.9950873,-314.48044382139983,-153.16366533308897,-10.9408827,-93.9206848,-19.684433,14.9958963,11.9784155,-13.0493565,-0.00022157593,0.0,100,258.1174,23999.1758,0.1862793,0.681884766,3.46240234,-0.162597656,-0.288818359,-4.18701172,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
179.5,-217.98120307665485,-314.5223923164289,-153.16458094016753,-12.6651773,-84.39891,-13.1229553,15.0094872,11.9365025,-13.0499277,-0.000158806579,5.34340179e-05,100,114.158043,24001.1211,0.258056641,0.671630859,3.47436523,-0.2647705,-0.303894043,-2.20117188,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
179.55,-217.95099539774134,-314.60700901054975,-153.16422459132127,-9.262364,-87.69491,-22.5226536,15.0396948,11.8520536,-13.0499163,-0.0002215856,5.34340179e-05,100,186.140472,24001.6934,0.198242188,0.673339844,3.45898438,-0.221923828,-0.305480957,-3.284668,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
